Plot	Row	Column	Genotype	Year	Germ	PH
199	13	7	G19	1984	54	290
200	13	8	G20	1992	63	120
201	13	9	G139	1985	34	220
202	13	10	G118	1986	36	266
203	13	11	G144	2002	69	320
204	13	12	G50	1988	54	270
205	13	13	G30	2003	51	230
206	13	14	G140	1984	65	270
207	13	15	G110	1986	63	265
208	13	16	G37	2003	50	270
209	14	16	G102	1983	65	260
210	14	15	G54	1980	39	230
211	14	14	G180	1983	70	340
212	14	13	G79	1983	34	280
213	14	12	G10	2018	95	290
214	14	11	G85	1980	63	310
215	14	10	G66	1983	30	290
216	14	9	G91	1983	56	330
217	14	8	G76	1980	68	310
218	14	7	G130	1983	66	300
219	14	6	G72	1983	62	260
220	14	5	G152	1980	57	330
221	14	4	G87	1980	57	170
222	14	3	G69	2003	33	265
223	14	2	G150	1982	60	340
224	14	1	G73	1983	57	335
225	15	1	G147	1982	61	330
226	15	2	G151	1980	47	380
227	15	3	G71	1983	37	315
228	15	4	G70	1983	68	390
229	15	5	G101	1986	41	360
230	15	6	G153	1982	45	420
231	15	7	G10	2018	95	300
232	15	8	G105	1984	56	280
233	15	9	G146	1982	44	350
234	15	10	G148	1982	38	400
235	15	11	G142	1982	47	400
236	15	12	G67	2003	36	400
237	15	13	G114	2010	70	110
238	15	14	G57	1983	68	120
239	15	15	G58	1985	69	70
240	15	16	G210	1983	57	75
241	16	16	G198	1983	60	115
242	16	15	G251	2003	69	235
243	16	14	G40	1983	57	120
244	16	13	G41	1983	47	110
245	16	12	G36	2003	63	120
246	16	11	G36	1983	61	125
247	16	10	G38	1983	56	130
248	16	9	G39	2003	48	140
249	16	8	G39	1983	64	140
250	16	7	G43	2003	65	135
251	16	6	G44	1983	64	130
252	16	5	G45	2003	62	90
253	16	4	G45	1983	66	115
254	16	3	G160	2003	36	155
255	16	2	G174	1984	46	170
256	16	1	G51	2003	54	NA
257	17	1	G52	2003	66	NA
258	17	2	G84	2004	64	410
259	17	3	G56	2003	54	110
260	17	4	G187	1990	60	130
261	17	5	G165	2005	69	320
262	17	6	G166	2005	69	240
263	17	7	G167	1993	60	320
264	17	8	G168	1992	35	380
265	17	9	G169	1996	60	360
266	17	10	G170	1996	65	320
267	17	11	G171	1991	67	350
268	17	12	G172	1992	66	380
269	17	13	G173	1992	67	380
